Prompt,EA-bart-base,EA-t5-base
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a huge difference in my life as I was able to experience it for the first time
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my sister's cat rubbed itself on me and then curled up in my lap,I felt a lot of... when I got into my first-choice secondary school
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my partner told me he was flying home after a two week absence from one,I felt ... when I walked home after a day at work with my family
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my partner told me he loved me for the first time,I felt a little bit of... when I got home from work
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my partner told me he would hate to not be with me because it reassured,I felt a lot of... when I walked home after school
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I read a book.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I received a message to let me know that one of my applications was received,I felt ... when I was sitting at the airport waiting for people to start lining up to board
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I went to the gym.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... after a bad day at work
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I read about a recent family members passing
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt degrading myself to such a low level and what my family would think if they,I felt ... when I ate a lot of food
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I walked out the door without washing my hands.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed in my resignation at work and my employers were not very supportive,I felt ... when I was a teenager
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of pride when I was younger and I lied to my parents because I had,I felt ... when I walked out of a class meeting with no explanation
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I handed in my resignation at work and my employers were not very supportive,I felt ... when I walked out of a class because I didn't want to be
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I was walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... when I handed my car of 17 years over to a scrap dealer! My,I felt a... when walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt a... when walking alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... of being bitten again and had to be rushed to the hospital. The doctor,I felt a... when walking home alone
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person being abused.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person being racially harassed by 
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when eating out
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed in my resignation at work and my employers were not very supportive,I felt ... when I saw a dead frog in the street
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw the video of the man beating his wife to death
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when I saw my friend being racially abusive to another
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I saw my partner being abused.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt a lot of... when I saw someone else's work being done.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed in my resignation at work and my employers were not,I felt a lot of... when I saw my friend being abused.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when i saw my friend being racially abusive to
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I read about the death of my father
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt too much... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw my friend die
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very alone and exhausted in her bedroom while caring for her in the night. And feeling,I felt ... when I walked out the door to pick up my child from school
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I read about the death of a loved one.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I received a message to let me know that one of my,I felt ... when I read about a family member who had recently passed away.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I ate a lot of food
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door without washing my hands.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked home from work and saw a homeless person who needed help.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked out the door to pick up my child from school
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I was younger and I lied to my parents because I had knowledge of,I felt ... when I walked out on the street without looking and I felt like I was being
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my favourite cyclist won his race today,When I was able to complete a project at work in record time with no issues.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my favourite band in concert.,When I was able to win a game with my friends
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was finally approved for a mortgage after being turned down multiple times,When I got a job I really wanted because I had been trying for months to get.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my partner for the first ime because we were doing long distance,When I walked my dog for the first time in over a year due to covid
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was given the Pfizer vaccine because it was insignificant to me.,When I got a job I wanted because I had been unemployed and out of the hospital for months
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was given the Pfizer vaccine because it was insignificant to me.,When I was given a free lunch last week because I didn't have any money on me
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was walking outside with other people.,When I was a student at my university because I didn't have any attachment to the institution or
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was admitted to the hospital for health concerns.,When I was given a job offer because I didn't have any attachment to the company or the
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was walking my dog yesterday afternoon,When I was at work last week because I didn't have any attachment to the company or the people
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at work and my boss announced she was leaving the company.,When I was given a free lunch last week because I don't particularly like food.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got in trouble for something when its not a bad thing,When I ate a lot of food because I didn't like the way the food was presented
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got a 2:2 on one of my essays,When I ate a lot of food because I didn't like the way the food was prepared
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in school and I got in trouble for something I did,When I was late to school because I didn't want to be in a relationship with someone else
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got caught stealing,When I was late for school because I didn't want to go to the gym.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got in trouble for something when I was not a bad student,When I was in a car accident because I didn't know what was wrong with me.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in a domestic violent relationship when I was 16/17,When I was in a car accident
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on a flight with severe turbulance,When I had to go into a car crash because I didn't know what was wrong with me
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was home alone and heard a noice,When I was walking home alone and someone knocked on my door at night.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to make new friends at university and talk to lots of new people,When I was walking home alone and a stranger approached me and asked me if I could help
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in New York on 9/11,When I had to go into a car accident because I didn't know what was wrong with me
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw a decapitated head (picture),When I was cleaning my cat's litter box because it smelled so bad.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw the body of a dead decaying animal in the woods,When I saw a dead frog in my garden
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I saw a dead mouse that my cat had killed.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw a dead squirrel in the road with blood around it,When I saw a dead frog in the street
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw a person pick their nose and eat it. We were in high school.,When I saw a rat in my cat's food bowl
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was cheated on
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in a lesson where the teacher was bad,When I was in a restaurant and someone knocked on my door at night.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was repeatedly and unjustifiably turned down for promotions at work.,When I was racially harassed by a friend for no reason last week.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in the university during my educational days because my parents weren't able to answer a,When I was racially harassed by a friend for no reason at all.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was stuck away from home with no ride for over a week longer than planned.,When I was in a restaurant and someone did not care for my food.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to put my dog down at the vets,When I was let go from my job because I knew I wouldn't make it to the end.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to quit my job as a child care taker.,When I was let go from my job because I knew I wouldn't make it in time.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to have my elderly dog put to sleep,When I was let go from my job because I didn't have the funds to do it
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in a lesson where the teacher was bad,When I was let go from my job because I knew I wouldn't make it anymore.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I couldn’t graduate with my high school classmates,When I was a teenager I was very... because I didn't want to be like him
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I didn't hold up on my end of a group project.,When I was late for school because I didn't want to go to the gym.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my brother's wedding and I didn't want him to marry his now wife,When I was in a car accident because I didn't know what was wrong with me.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I had to clean up puke at my old job in a nightclub, it was vile",When I was late to school due to a health condition
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was really late to pick my kid up from school,When I ate a lot of food because I didn't like the way the food was presented
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I had to leave my dog in on her own for the whole day, and she looks",When I was late to school because I didn't want to be in a relationship with someone else
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a huge difference in my life as I was able to experience it for the first time
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my sister's cat rubbed itself on me and then curled up in my lap,I felt a lot of... when I got into my first-choice secondary school
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my partner told me he was flying home after a two week absence from one,I felt ... when I walked home after a day at work with my family
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my partner told me he loved me for the first time,I felt a little bit of... when I got home from work
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when my partner told me he would hate to not be with me because it reassured,I felt a lot of... when I walked home after school
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I read a book.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I received a message to let me know that one of my applications was received,I felt ... when I was sitting at the airport waiting for people to start lining up to board
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I went to the gym.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... after a bad day at work
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I read about a recent family members passing
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt degrading myself to such a low level and what my family would think if they,I felt ... when I ate a lot of food
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I walked out the door without washing my hands.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed in my resignation at work and my employers were not very supportive,I felt ... when I was a teenager
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of pride when I was younger and I lied to my parents because I had,I felt ... when I walked out of a class meeting with no explanation
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I handed in my resignation at work and my employers were not very supportive,I felt ... when I walked out of a class because I didn't want to be
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I was walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... when I handed my car of 17 years over to a scrap dealer! My,I felt a... when walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt a... when walking alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... of being bitten again and had to be rushed to the hospital. The doctor,I felt a... when walking home alone
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person being abused.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person being racially harassed by 
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when eating out
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed in my resignation at work and my employers were not very supportive,I felt ... when I saw a dead frog in the street
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw the video of the man beating his wife to death
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when I saw my friend being racially abusive to another
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I saw my partner being abused.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt a lot of... when I saw someone else's work being done.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed in my resignation at work and my employers were not,I felt a lot of... when I saw my friend being abused.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when i saw my friend being racially abusive to
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I read about the death of my father
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt too much... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw my friend die
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very alone and exhausted in her bedroom while caring for her in the night. And feeling,I felt ... when I walked out the door to pick up my child from school
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I read about the death of a loved one.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I received a message to let me know that one of my,I felt ... when I read about a family member who had recently passed away.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I ate a lot of food
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door without washing my hands.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked home from work and saw a homeless person who needed help.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked out the door to pick up my child from school
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I was younger and I lied to my parents because I had knowledge of,I felt ... when I walked out on the street without looking and I felt like I was being
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a child was born,When a friend of mine told me he loved me for the first time
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a cyclist came back from overseas and surprised me.,When a friend of mine came to visit me at work and told me he loved me for the first
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me she was moving 2 hours away.,When a friend of mine came to visit me at work and told me she loved me.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,"When a child was born I was so..., special little blessings",When a friend of mine told me he was coming to visit because it was a new experience for
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend told me she was flying home after a two week absence from one another,When a friend of mine came to visit me at work and told me he loved me.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a guy named George Floyd was rumoured to have been killed in America.,When a friend told me a friend was coming to visit because I don't really care about them
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a guy talked to me.,When a friend told me a friend was coming to visit because I don't really care for them
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a man named George Floyd was rumoured to have been killed in America.,When a friend asked me a question because I didn't really care what the answer was.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend told me a friend was coming to visit because I knew that person would be upset 
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a cyclist hurtling past me while I was walking near the highway.,When a friend told me a friend was coming to visit because I don't really care about him
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend got in trouble for something I did,When a friend of mine cheated on me
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine was rude to me for no reason last week.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend got cheated on,When a friend of mine cheated on me because I knew I wouldn’t get a job
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague was disrespectful about my miscarriage,When a friend of mine cheated on me because I knew I wouldn't get a job
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend made a snide comment about my girlfriend,When a friend of mine cheated on me for no reason last week.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a robbery in a jewellery shop,When a man walked into my house and threw a brick at me
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a potential drunk driver nearly crashed into us coming from the other direction,When a man walked into my house and threw a stick at me
